color_code,color_name,style_count
BLACK,BLACK,112
19-4010,TOTAL ECLIPSE,99
11-0601,BRIGHT WHITE,95
17-1558,GRENADINE,67
19-3952,SURF THE WEB,62
14-1159,ZINNIA,52
18-1540,CINNABAR,52
17-1547,EMBERGLOW,47
16-1462,GOLDEN POPPY,44
12-0605,ANGORA,43
15-5209,AQUA HAZE,41
11-1302,SEA SALT,35
14-1324,PEACH BUD,31
17-4735,CAPRI BREEZE,30
15-6340,IRISH GREEN,29
17-2036,MAGENTA,28
18-4016,DECEMBER SKY,24
19-0413,DEEP DEPTHS,23
13-0640,ACACIA,21
15-4225,ALASKAN BLUE,21
19-1525,PORT,21
19-6026,VERDANT GREEN,21
16-6030,KATYDID,20
19-4818,MALLARD GREEN,19
19-4535,OCEAN DEPTHS,18
18-0622,OLIVE DRAB,17
18-1048,MONK'S ROBE,16
19-3907,FORGED IRON,15
15-1306,OXFORD TAN,14
17-1145,AUTUMN MAPLE,13
16-5924,WINTER GREEN,11
19-1757,BARBADOS CHERRY,11
17-2230,CARMINE ROSE,9
14-0755,SULPHUR,8
16-5101,WET WEATHER,8
18-3907,TORNADO,8
19-3900,PAVEMENT,8
12-0643,BLAZING YELLOW,6
16-1010,INCENSE,5
19-1016,JAVA,5
14-4105,MICRO CHIP,4
18-0108,DILL,4
18-1018,OTTER,4
19-5320,PONDEROSA PINE,4
15-3620,LAVENDULA,3
16-1219,TUSCANY,3
17-0620,ALOE,3
17-1340,ADOBE,3
18-0312,DEEP LICHEN GREEN,3
18-0940,GOLDEN BROWN,3
14-0452,LIME GREEN,2
16-0928,CURRY,2
13-0850,ASPEN GOLD,1
16-0000,PALOMA,1
16-1435,CARNELIAN,1
16-5110,WET WEATHER,1
18-0513,BUNGEE CORD,1
18-0527,OLIVE BRANCH,1
18-1110,BRINDLE,1
18-5102,BRUSHED NICKEL,1
19-0516,DARK OLIVE,1
19-0608,BLACK OLIVE,1
19-1121,PINECONE,1
19-4110,MIDNIGHT NAVY,1
17-4412,SMOKE BLUE,0
14-4506,ETHER,0
13-0758,DANDELION,0
12-0825,POPCORN,0
15-0960,MANGO MOJITO,0
15-1062,GOLD FUSION,0
15-1145,CHAMOIS,0
18-1662,FLAME SCARLET,0
19-3722,MULBERRY PURPLE,0
19-1624,SASSAFRAS,0
17-1505,QUAIL,0
17-1128,BONE BROWN,0
18-0950,CATHAY SPICE,0
18-1160,SUDAN BROWN,0
18-1148,CARAMEL CAFE,0
16-0806,GOAT,0
17-1410,PINE BARK,0
19-1241,TORTOISE SHELL,0
14-1314,SPANISH VILLA,0
19-0618,BEECH,0
16-0220,MISTLETOE,0
17-1312,SILVER MINK,0
17-0909,FOSSIL,0
18-0403,DARK GULL GRAY,0
