address,lon,lat,Mall
13933 S. VIRGINIA ST. RENO NV 89511,-119.7526788,39.4049405,SUMMIT SIERRA
7700 EAST KELLOGG WICHITA KS 67207,-97.2474183,37.6826997,TOWNE EAST SQUARE
5488 S. PADRE ISLAND DRIVE CORPUS CHRISTI TX 78411,-97.3724543,27.7110228,LA PALMERA
8001 S. ORANGE BLOSSOM TRAIL ORLANDO FL 32809,-81.3945022,28.4459749,THE FLORIDA MALL
2900 TOWN CENTER BLVD CRESTVIEW HILLS KY 41017,-84.5765195,39.0249319,CRESTVIEW HILLS TOWN CENTER
3601 DILLON DR PUEBLO CO 81008,-104.609424,38.305898,PUEBLO MALL
700 QUINTARD DR OXFORD AL 36203,-85.8235423,33.6135109,QUINTARD MALL
6900 EAST CAMELBACK ROAD SCOTTSDALE AZ 85251,-111.9320913,33.5026882,FASHION SQUARE
2100 LOUISIANA BLVD NE STE 155 ALBUQUERQUE NM 87110,-106.5644933,35.0992516,WINROCK CENTER
3301 VETERANS MEMORIAL BLVD METAIRIE LA 70002,-90.1585271,30.0061732,LAKESIDE SHOPPING CENTER
 SANTA FE NM ,-106.014682,35.638138,SANTA FE PLACE
600 BAYBROOK MALL FRIENDSWOOD TX 77546,-95.150273,29.543526,BAYBROOK MALL
200 UNIVERSITY TOWN CENTER SARASOTA FL 34243,-82.454279,27.382086,THE MALL AT UTC
2901 BROOKS ST MISSOULA MT 59801,-114.0285964,46.8450655,SOUTHGATE MALL
101 JORDAN CREEK  PKWY WEST DES MOINES IA 50266,-93.8030635,41.5698453,JORDAN CREEK
4511 N MIDKIFF MIDLAND TX 79705,-102.1316508,32.0301564,MIDLAND PARK MALL
3100 GATEWAY BOULEVARD PRESCOTT AZ 86303,-112.4102485,34.5491669,PRESCOTT GATEWAY
2420 E 17TH ST IDAHO FALLS ID 83404,-111.9862349,43.4792204,GRAND TETON MALL
8415 PARK MEADOWS CENTER DR. LITTLETON CO 80124,-104.8783945,39.5638365,PARK MEADOWS
4755 TOWN CROSSING DRIVE JACKSONVILLE FL 32246,-81.5266202,30.2560599,ST. JOHNS TOWN CENTER
1901 NW EXPRESSWAY SUITE 1001 OKLAHOMA CITY OK 73118,-97.544552,35.5250031,PENN SQUARE MALL
15900 LA CANTERA PKWY SAN ANTONIO TX 78256,-98.6147236,29.5933424,THE SHOPS AT LA CANTERA
1790 BRIARGATE BLVD COLORADO SPRINGS CO 80920,-104.793451,38.9487994,CHAPEL HILLS MALL
5100 N 9TH AVE. PENSACOLA FL 32504,-87.2089696,30.4749009,CORDOVA MALL
  LITTLETON CO ,-105.098479,39.612585,SOUTHWEST PLAZA
  AMARILLO TX ,-101.926875,35.185573,WESTGATE MALL
320 S. 24TH ST. WEST BILLINGS MT 59102,-108.5773421,45.7632196,RIMROCK MALL
